# DUREE_SEC:1577880000.0|PAS:1000.0000|INTERVALLE:100000.00
Soleil_1_X,Soleil_1_Y,Soleil_1_VX,Soleil_1_VY,Soleil_2_X,Soleil_2_Y,Soleil_2_VX,Soleil_2_VY,Soleil_3_X,Soleil_3_Y,Soleil_3_VX,Soleil_3_VY
29897342740.51123,189263998128.33313,19755.049414078105,-3120.5288725144833,-178856101756.19208,-68740140771.26701,-7175.067420198675,18668.639064474344,148958759045.701,-120523857357.06615,-12579.98197387942,-15548.1101919599
31871183254.74064,188941641363.3807,19721.40240064354,-3326.547877342792,-179563852864.7762,-66869566362.18885,-6979.826221637687,18742.50939848292,147692669642.0556,-122072075001.19188,-12741.576159005837,-15415.96152114016
33841551610.44788,188598700633.07175,19685.606874401437,-3532.2044410325893,-180252041657.1898,-64991706947.919556,-6783.824649906271,18814.337845249935,146410490080.7618,-123606993685.15224,-12901.782204495166,-15282.133404217373
35808233149.443954,188235213302.20895,19647.666736181567,-3737.476156587599,-180920593163.20728,-63106767110.30552,-6587.0840604472805,18884.116579494887,145112360049.7831,-125128446191.9037,-13060.582655734279,-15146.640422907316
37771013615.31184,187851218974.21832,19607.58612052041,-3942.340658966812,-181569434552.19232,-61214952202.55964,-6389.625889222651,18951.837999310956,143798420974.9002,-126636266771.65906,-13217.960211297765,-15009.497340344162
39729679176.75472,187446759486.82983,19565.36939521024,-4146.775627522598,-182198495141.0337,-59316468326.88222,-6191.471650376384,19017.494726993365,142468816004.29874,-128130291159.94806,-13373.897724833883,-14870.719099470758
41684016450.89821,187021878907.51727,19521.02116082252,-4350.758788433996,-182807706401.84625,-57411522312.00023,-5992.642933888997,19081.079609843353,141123689992.9676,-129610356595.51747,-13528.378206933538,-14730.320821409347
43633812526.54303,186576623528.6939,19474.546250205916,-4554.2679171348345,-183397001969.4361,-55500321690.62763,-5793.161403223731,19142.585720947583,139763189486.91254,-131076301838.0668,-13681.384826982185,-14588.317803812743
45578854987.366844,186111041862.66632,19425.94972795911,-4757.2808407365155,-183966317648.5317,-53583074676.84899,-5593.048792964721,19202.0063599329,138387462707.18433,-132527967185.81775,-13832.900914994389,-14444.725519196363
47518931935.07176,185625184636.34476,19375.236889878208,-4959.775440445139,-184515591420.77753,-51659990143.42864,-5392.326906447438,19259.335053696293,136996659533.7252,-133965194492.91661,-13982.909963430777,-14299.559613251116
49453832012.47554,185119104785.71414,19322.413262379003,-5161.729653972718,-185044763451.48965,-49731277599.04821,-5191.017613381638,19314.56555711022,135590931489.03365,-135387827186.6664,-14131.395628997376,-14152.835903137468
51383344426.54328,184592857450.06253,19267.484601893986,-5363.121477942214,-185553776096.1751,-47797147165.47481,-4989.142847467064,19367.691853702974,134170431721.65147,-136795710284.58797,-14278.341734426938,-14004.570375760704
53307258971.35816,184046499965.96997,19210.456894244362,-5563.9289702861215,-186042573906.81064,-45857809554.6626,-4786.724604002178,19418.708156314,132735314989.47191,-138188690411.30743,-14423.732270242192,-13854.779186027805
55225366051.027885,183480091861.0579,19151.336353986993,-5764.13025263839,-186511103637.88242,-43913476045.78977,-4583.784937486214,19467.60890772438,131285737642.87387,-139566615815.26828,-14567.551396500807,-13703.478655085923
57137456702.52443,182893694847.50058,19090.129423736416,-5963.703512719357,-186959314252.18677,-41964358462.234085,-4380.34595921473,19514.388781262132,129821857607.68164,-140929336385.26666,-14709.78344452171,-13550.685268542717
59043322618.45493,182287372815.29654,19026.8427734619,-6162.627006713468,-187387156926.3892,-40010669148.48882,-4176.4298348690145,19559.04268138234,128343834367.95335,-142276703666.80768,-14850.412918592918,-13396.415674668802
60942756169.76095,181661191825.3036,18961.48329975986,-6360.879061639516,-187794585056.34128,-38052620947.02224,-3972.0587820995647,19601.565744222047,126851828948.59943,-143608570878.28116,-14989.424497660317,-13240.686682582467
62835550428.343796,181015220102.03757,18894.05812510138,-6558.438077713149,-188181554262.1579,-36090427175.082535,-3767.2550681038997,19641.953338130035,125346003897.83324,-144924792926.95465,-15126.803036997484,-13083.515260416803
64721499189.613495,180349528026.23514,18824.57459705521,-6755.282530701349,-188548022393.0498,-34124301601.45144,-3562.0410071989763,19680.201064170935,123826523269.45547,-146225226424.78342,-15262.533569856232,-12924.918533469503
66600396994.95829,179664188127.18033,18753.040287486183,-6951.390974268721,-188893949531.91394,-32154458423.148197,-3356.43895838849,19716.304756604368,122293552604.9747,-147509729704.032,-15396.601309097683,-12764.91378233557
68472039154.1336,178959275074.79904,18679.46299172914,-7146.7420423151925,-189219297999.68027,-30181112242.087505,-3150.4713229253093,19750.260483338312,120747258915.56561,-148778162832.71158,-15528.991648803829,-12603.518441023041
70336221767.56648,178234865671.51804,18603.850727738532,-7341.314451304998,-189524032359.41495,-28204478041.69278,-2944.160541869298,19782.06454635709,119187810663.86743,-150030387629.82507,-15659.690165869233,-12440.750095052033
72192741748.57384,177491038843.89233,18526.211735213645,-7535.087002586628,-189808119420.1786,-26224771163.468395,-2737.5290936408446,19811.713482123894,117615377745.6235,-151266267680.42398,-15788.682621572812,-12276.62647953721
74041396845.49269,176727875634.00238,18446.55447469978,-7728.038584703513,-190071528240.63962,-24242207283.532665,-2530.5994915702986,19839.204061957575,116030131471.16565,-152485668350.46964,-15915.954963129516,-12111.165477253999
75881985663.71835,175945459190.61783,18364.887626665233,-7920.148175695154,-190314230132.44272,-22257002389.11443,-2323.394281443621,19864.533292383934,114432244546.74312,-153688456801.50375,-16041.493325221643,-11944.385116688696
77714307687.64981,175143874760.13452,18281.220090554263,-8111.3948453885205,-190536198663.3319,-20269372755.015923,-2115.936039044512,19887.698415461255,112821891055.70093,-154874502005.1191,-16165.284031509795,-11776.303570072674
79538163302.53893,174323209677.2812,18195.560983816355,-8301.757757679368,-190737409660.02673,-18279534920.04442,-1908.2473676932943,19908.696909080307,111199246439.50658,-156043674757.23734,-16287.313596123106,-11606.939151400878
