# DUREE_SEC:1577880000.0|PAS:1000.0000|INTERVALLE:100000.00
Soleil_1_X,Soleil_1_Y,Soleil_1_VX,Soleil_1_VY,Soleil_2_X,Soleil_2_Y,Soleil_2_VX,Soleil_2_VY,Soleil_3_X,Soleil_3_Y,Soleil_3_VX,Soleil_3_VY
23957140339.628197,190107224646.1775,19843.06386362509,-2500.5218591765465,-176616256156.35855,-74306120186.94176,-7756.016479047395,18434.858324404617,152659115816.7303,-115801104459.23584,-12087.047384577743,-15934.336465228078
25940105711.700558,189846821520.25653,19815.88345029676,-2707.493362559798,-177382223120.12244,-72458620236.94182,-7563.18369259388,18514.805147668558,151442117408.4214,-117388201283.31485,-12252.699757702941,-15807.311785108765
27920245076.324505,189565735805.81387,19786.54422804101,-2914.1698730771773,-178128865433.0859,-70603226386.92245,-7369.526972992431,18592.73489112648,150208620356.76102,-118962509418.89133,-12417.017255048635,-15678.56501804931
29897342710.510754,189263998128.32318,19755.049394115773,-3120.528872539876,-178856101756.19345,-68740140771.20984,-7175.067420195569,18668.63906459061,148958759045.6823,-120523857357.11343,-12579.98197392026,-15548.110192050737
31871183222.74413,188941641363.36804,19721.402380685897,-3326.547877373563,-179563852864.7772,-66869566362.119255,-6979.826221632269,18742.509398615697,147692669642.03262,-122072075001.2489,-12741.576159053684,-15415.96152124214
33841551576.45584,188598700633.05563,19685.6068544487,-3532.2044410694402,-180252041657.19,-64991706947.83581,-6783.824649898019,18814.337845400358,146410490080.73386,-123606993685.2201,-12901.782204550715,-15282.133404330934
35808233113.45688,188235213302.18887,19647.666716233824,-3737.4761566312704,-180920593163.20645,-63106767110.205826,-6587.084060435624,18884.116579664093,145112360049.74908,-125128446191.98354,-13060.58265579824,-15146.640423032843
37771013577.33023,187851218974.19333,19607.586100577802,-3942.340659018086,-181569434552.1901,-61214952202.44211,-6389.625889206976,18951.83799950007,143798420974.8593,-126636266771.75206,-13217.960211370864,-15009.497340482005
39729679136.7791,187446759486.79932,19565.369375272876,-4146.7756275822985,-182198495141.02966,-59316468326.74472,-6191.471650356025,19017.494727203517,142468816004.25,-128130291160.05548,-13373.897724916884,-14870.719099621241
41684016408.92908,187021878907.4803,19521.021140890443,-4350.758788502979,-182807706401.83987,-57411522311.840645,-5992.642933863245,19081.07961007567,141123689992.91006,-129610356595.64064,-13528.378207027212,-14730.320821572714
43633812482.58095,186576623528.64963,19474.546230279142,-4554.267917213994,-183397001969.4269,-55500321690.44371,-5793.161403191828,19142.585721203166,139763189486.84512,-131076301838.20697,-13681.38482708734,-14588.317803989215
45578854941.41238,186111041862.6135,19425.94970803764,-4757.280840826779,-183966317648.51913,-53583074676.63832,-5593.048792925859,19202.006360212843,138387462707.10583,-132527967185.97629,-13832.900915111813,-14444.725519386113
47518931887.125404,185625184636.2823,19375.23686996202,-4959.775440547476,-184515591420.7607,-51659990143.188705,-5392.326906400766,19259.335054001713,136996659533.63425,-133965194493.09476,-13982.909963561297,-14299.559613454281
49453831962.53786,185119104785.64062,19322.41324246805,-5161.729654088132,-185044763451.4677,-49731277598.77642,-5191.017613326259,19314.56555744221,135590931488.92902,-135387827186.86557,-14131.395629141834,-14152.835903354116
51383344374.614746,184592857449.97656,19267.48458198817,-5363.121478071734,-185553776096.14716,-47797147165.16842,-4989.142847402027,19367.6918540626,134170431721.53154,-136795710284.80942,-14278.341734586178,-14004.570375990881
53307258917.4393,184046499965.87027,19210.456874343545,-5563.9289704308185,-186042573906.77554,-45857809554.318794,-4786.724603926497,19418.708156702298,132735314989.3353,-138188690411.55273,-14423.732270417082,-13854.7791862715
55225365995.119194,183480091860.94284,19151.336334091025,-5764.130252799366,-186511103637.83896,-43913476045.405624,-4583.784937398847,19467.608908142425,131285737642.71893,-139566615815.53845,-14567.551396692197,-13703.478655343082
57137456644.626305,182893694847.36862,19090.12940384506,-5963.703512897742,-186959314252.1339,-41964358461.806564,-4380.345959114593,19514.388781710968,129821857607.50667,-140929336385.56335,-14709.78344473049,-13550.685268813224
59043322558.56789,182287372815.1459,19026.842753574918,-6162.627006910425,-187387156926.3254,-40010669148.01483,-4176.429834754974,19559.04268186296,128343834367.7566,-142276703667.13202,-14850.412918819959,-13396.415674952521
60942756107.88547,181661191825.132,18961.48327987694,-6360.879061856233,-187794585056.26535,-38052620946.49855,-3972.058781970444,19601.565744735435,126851828948.37904,-143608570878.63458,-14989.424497906515,-13240.68668287918
62835550364.480225,181015220101.84335,18894.058105222182,-6558.438077950846,-188181554262.06833,-36090427174.50586,-3767.2550679584747,19641.953338677133,125346003897.58727,-144924792927.33844,-15126.803037263724,-13083.515260726255
64721499123.76216,180349528026.016,18824.574577179366,-6755.282530961282,-188548022392.9448,-34124301600.818295,-3562.0410070359826,19680.2010647527,123826523269.18187,-146225226425.19864,-15262.533570143416,-12924.918533791399
66600396927.119514,179664188126.93414,18753.04026761328,-6951.390974552152,-188893949531.7915,-32154458422.45512,-3356.438958206616,19716.30475722172,122293552604.67125,-147509729704.48013,-15396.601309406702,-12764.913782669546
68472039084.307686,178959275074.52338,18679.46297185872,-7146.7420426234185,-189219297999.5387,-30181112241.330864,-3150.4713227231964,19750.260483992137,120747258915.23018,-148778162833.19354,-15528.991649135565,-12603.5184413687
70336221695.75362,178234865671.2103,18603.850707870068,-7341.31445163933,-189524032359.2521,-28204478040.8689,-2944.1605416455523,19782.064547048292,119187810663.49759,-150030387630.34222,-15659.690166224556,-12440.750095408932
72192741674.77417,177491038843.54987,18526.21171534659,-7535.087002948413,-189808119419.99222,-26224771162.573463,-2737.529093394027,19811.71348285329,117615377745.21692,-151266267680.9772,-15788.682621952612,-12276.62647990484
74041396769.7064,176727875633.62222,18446.554454833535,-7728.038585094104,-190071528240.4272,-24242207282.562862,-2530.599491298924,19839.20406272594,116030131470.7199,-152485668351.06027,-15915.954963534648,-12111.165477631808
75881985585.94547,175945459190.19708,18364.88760679911,-7920.1481761159375,-190314230132.2018,-22257002388.065815,-2323.3942811461657,19864.533293192042,114432244546.25562,-153688456802.13272,-16041.493325652984,-11944.385117076068
77714307607.8903,175143874759.67023,18281.220070687592,-8111.394845840894,-190536198663.05988,-20269372753.884476,-2115.936038719416,19887.69841630988,112821891055.1689,-154874502005.7872,-16165.284031968195,-11776.303570468956
