# DUREE_SEC:1728000.0|PAS:8.0681|INTERVALLE:1728.00
Terre_X,Terre_Y,Terre_VX,Terre_VY,Fusee_X,Fusee_Y,Fusee_VX,Fusee_VY
0.0,0.0,0.0,0.0,6378000.0,0.0,0.0,10000.0
5.3399196249162754e-18,0.0,1.3236194509771118e-18,8.371650816595454e-21,6377681.1,80680.98074497833,-79.04655361235314,9999.500045013232
1.3970554142203956e-13,1.0402206252242956e-13,1.0307020204620614e-16,1.2270108070524777e-16,-1965214.9337242,11214894.267075831,-6155.352466199431,2672.2914602825986
2.9714626844198535e-13,3.6860576661901655e-13,7.791333048123992e-17,1.7449158187945466e-16,-11367575.1513554,12679685.337852985,-4652.9840963396555,-420.63726984103226
4.100037461475018e-13,6.894854598579772e-13,5.35370642034909e-17,1.9454866662977124e-16,-18107423.71992888,10782479.93704761,-3197.233474232475,-1618.4463711299466
4.841392420997969e-13,1.0345239703534068e-12,3.28151569251251e-17,2.0400297311919339e-16,-22534795.53819993,7442509.969685859,-1959.7211715684691,-2183.057554678249
5.245238385400987e-13,1.3910353832951023e-12,1.4200768925216082e-17,2.0831362033559158e-16,-24946563.637614805,3417378.268233152,-848.0699202139041,-2440.48940644154
5.336302640414902e-13,1.753614864981332e-12,-3.6504576349424685e-18,2.0921820942538886e-16,-25490399.368557904,-889457.5178981529,218.00532995876452,-2494.511466884231
5.119106425423398e-13,2.1134182713604492e-12,-2.1631068073322414e-17,2.0702199577649817e-16,-24193303.572628614,-5111187.067433857,1291.807385338814,-2363.3535877724844
4.581805106130428e-13,2.4662906400285707e-12,-4.093332350019193e-17,2.0094417022300448e-16,-20984540.093811,-8918995.044868624,2444.538079431461,-2000.3858457178458
3.689982417463075e-13,2.8035771273494628e-12,-6.296440158645623e-17,1.8821977373691851e-16,-15658574.997089554,-11796014.188246965,3760.2340627431686,-1240.4848875687876
2.3837014894097593e-13,3.10758798686289e-12,-8.896125389500323e-17,1.5974053024657417e-16,-7857465.294755152,-12685812.838963527,5312.766082609591,460.2955336745746
6.661914593039194e-14,3.3254524637722675e-12,-1.0064615803260619e-16,7.599536092788597e-17,2399504.605036916,-8430949.520566259,6010.588557707241,5461.557045386636
3.434519188915806e-14,3.3699295328202335e-12,8.607277183835756e-17,4.513678521018183e-17,4326905.140379401,6259290.776059785,-5140.265934186715,7304.431187247919
2.0708333550783783e-13,3.555645039785277e-12,9.42721808044928e-17,1.5004875597380088e-16,-5989016.79652816,12434090.57953259,-5629.934637644317,1039.08829324459
3.4667761591495955e-13,3.848973698767467e-12,6.778512075486512e-17,1.8435558605253612e-16,-14325587.22244147,12182232.944542047,-4048.127411480556,-1009.7155990574839
4.4350478820458266e-13,4.181575568178138e-12,4.502235873547262e-17,1.9909928465904769e-16,-20108105.951577794,9584979.18276218,-2688.735263682432,-1890.2092798383553
5.038960766173852e-13,4.532201993524121e-12,2.5305522731221258e-17,2.061749750059816e-16,-23714673.69559036,5911298.940525127,-1511.2458175085449,-2312.769507357261
5.318420108283388e-13,4.892827872487661e-12,7.075060295980944e-18,2.090421363360705e-16,-25383604.886668507,1721132.308993021,-422.5226008759935,-2483.996381990167
5.287678609575281e-13,5.253926267123018e-12,-1.0653140431322127e-17,2.0873857303446404e-16,-25200016.656383708,-2577933.939204798,636.205546558546,-2465.8675816182417
4.946958697425858e-13,5.611781673050315e-12,-2.901083720893068e-17,2.051811367468784e-16,-23165237.34102737,-6683328.901757693,1732.5271981173287,-2253.4174865236214
4.2754356467313196e-13,5.959830855344141e-12,-4.9199070919337523e-17,1.9699671949904726e-16,-19154901.682279598,-10203096.188919455,2938.168515302829,-1764.644088483143
3.228655941768476e-13,6.2870490688755146e-12,-7.274890206945202e-17,1.7986036269846943e-16,-12903533.284241535,-12478838.02158783,4344.564431587667,-741.2608603526313
1.7427198143661817e-13,6.5675371955183214e-12,-9.917228901894163e-17,1.3804029966862672e-16,-4029522.7313950686,-11963859.06527062,5922.569100211185,1756.2333037895805
9.605177535859779e-15,6.714441921904942e-12,-5.278433348310745e-17,1.4285543313492417e-17,5804378.797558219,-3390598.4649091484,3152.280395611173,9146.867353318212
1.016262531435148e-13,6.779053076853902e-12,1.0458561544444393e-16,1.0141426264797871e-16,308880.16226905404,10016553.240964342,-6245.852954342194,3943.540234662697
2.6761979049891686e-13,7.022205842293959e-12,8.36021600370975e-17,1.6756471055853435e-16,-9604253.888595564,12761199.968309514,-4992.720997415462,-6.964514555682758
3.8955027545873243e-13,7.335064072069682e-12,5.834347524694798e-17,1.9150311584143376e-16,-16885942.450395748,11343036.365528533,-3484.2723417477314,-1436.5660780504295
4.713782336140027e-13,7.676361506957844e-12,3.6978919353060807e-17,2.0252767116192034e-16,-21772708.111428462,8226483.433432793,-2208.381063764791,-2094.9525217898913
5.186293103070232e-13,8.031136266941532e-12,1.8035840835442393e-17,2.0771468551174094e-16,-24594542.41153564,4305064.646633325,-1077.100414692619,-2404.7210187611695
5.342800597041185e-13,8.393263621693231e-12,9.685383578009088e-20,2.0928180563350943e-16,-25529205.165530015,25229.88103230838,-5.7841110727862395,-2498.3094324331905
5.191118315420795e-13,8.753745964701636e-12,-1.7751986588132453e-17,2.077662281238915e-16,-24623358.579693105,-4237045.764004622,1060.1486390432706,-2407.799143558801
4.72369164648852e-13,9.10866517755889e-12,-3.667068667352024e-17,2.0264848842344457e-16,-21831886.512829542,-8167091.276414676,2189.9734081426313,-2102.1677286481086
3.9110980616168224e-13,9.450266091690768e-12,-5.798901503426759e-17,1.917489123905534e-16,-16979077.62397576,-11301767.988944486,3463.1039778464647,-1451.245047963842
2.69843638333922e-13,9.763771138804002e-12,-8.319114262946506e-17,1.6812435051106227e-16,-9737062.081301901,-12758559.523120742,4968.17503783166,-40.386212520632576
1.0355092493487643e-13,1.0009501728169619e-11,-1.0462912990140174e-16,1.026280687757685e-16,193938.76288910522,-10087179.459863834,6248.451637711715,3871.05173271111
8.661421998572992e-15,1.0075729309548305e-11,5.0419813558003955e-17,1.2952457893914779e-17,5860739.878245156,3223439.259626087,-3011.071265683989,9226.479214575413
1.716343119672343e-13,1.0219252517040822e-11,9.951228912427813e-17,1.3697292588895473e-16,-3872001.1106832884,11917963.187598264,-5942.873906501879,1819.9768659116266
