# DUREE_SEC:1728000.0|PAS:8.0681|INTERVALLE:1728.00
Terre_X,Terre_Y,Terre_VX,Terre_VY,Fusee_X,Fusee_Y,Fusee_VX,Fusee_VY
0.0,0.0,0.0,0.0,6378000.0,0.0,0.0,10670.0
5.3399196249162754e-18,0.0,1.3235974549378397e-18,8.932254516468946e-21,6377681.1,86086.60645489188,-79.04524000888779,10669.466565760276
1.3249776327769458e-13,9.721194076821893e-14,9.737147327981912e-17,1.0975411139243549e-16,-1534766.42294392,12789209.891578617,-5815.024384270795,4115.48446764375
2.889883351739777e-13,3.277018594770754e-13,8.321441053338551e-17,1.4996468123988566e-16,-10880383.376589956,17446885.727632564,-4969.564597053779,1714.1092363540154
4.2125794098580113e-13,6.022510599395921e-13,7.059192567118984e-17,1.6614699779148654e-16,-18779524.23567203,19473341.257357996,-4215.749801083459,747.701291892416
5.344858509886906e-13,8.973084487476008e-13,6.097306498954495e-17,1.7488139282639518e-16,-25541495.021044534,20275047.77909056,-3641.3114411756246,226.0832204076795
6.329386527682942e-13,1.204314468550977e-12,5.333505555477367e-17,1.8036875342570484e-16,-31421096.343322534,20363182.057779677,-3185.169517731086,-101.62195458308574
7.19788852123776e-13,1.520659567929086e-12,4.698184772333443e-17,1.8415383847775211e-16,-36607790.24883187,19979673.110720742,-2805.7559460375355,-327.66723389134467
7.961236869368754e-13,1.841096536759368e-12,4.156860592176107e-17,1.8689443494217944e-16,-41166506.583870195,19265711.113523185,-2482.477145647573,-491.33565474695064
8.637069440458763e-13,2.1656529982877905e-12,3.681079363295181e-17,1.8896940791231957e-16,-45202578.698419765,18305733.012392648,-2198.340595759885,-615.253040523723
9.235170612041838e-13,2.4933717818266163e-12,3.254173642313926e-17,1.905836725570662e-16,-48774438.89511384,17156901.040800836,-1943.392499189882,-711.6569251080019
9.762926489589134e-13,2.823574363109572e-12,2.864615783854575e-17,1.918631176730521e-16,-51926196.995826274,15859736.66792974,-1710.7485461179556,-788.0653874346881
1.0226032133735378e-12,3.1557578802161556e-12,2.504107390940802e-17,1.928893162721169e-16,-54691863.90266771,14444270.807671275,-1495.4529338698467,-849.3499677708332
1.0630691665296622e-12,3.4910985220437323e-12,2.1649286334824938e-17,1.9372078784139435e-16,-57108490.62515147,12926348.065530324,-1292.895379915743,-899.005449888075
1.097667189122928e-12,3.826168582043906e-12,1.845455744627093e-17,1.9438822594941073e-16,-59174684.53442132,11338497.863666805,-1102.106170691299,-938.8648536988144
1.1268776525627481e-12,4.16227330980664e-12,1.540289512192822e-17,1.9492312899187368e-16,-60919133.411047205,9688857.303022757,-919.8608966815559,-970.8092633946987
1.1509201630248475e-12,4.499201708831442e-12,1.2463519187699364e-17,1.9534509876512764e-16,-62354952.13584381,7990027.094608583,-744.3213658894088,-996.0092982534269
1.169965688822218e-12,4.836771682533933e-12,9.610590880490946e-18,1.9566829429568553e-16,-63492350.93646292,6252882.046442307,-573.9444873829225,-1015.310535338327
1.1841987767215976e-12,5.176402486676561e-12,6.808866261756247e-18,1.9590371733454316e-16,-64342350.94581375,4478750.81084619,-406.6254931520864,-1029.3699992189008
1.1935805550191225e-12,5.514787519000799e-12,4.064443276754654e-18,1.9605613998595394e-16,-64902630.74574188,2692930.4617898185,-242.7285524877913,-1038.4726799611526
1.1982487551326607e-12,5.853368475770902e-12,1.345875028923996e-18,1.9613119750787495e-16,-65181415.65652234,895409.5048265288,-80.37565672734425,-1042.9551151702753
1.198232932784749e-12,6.192013891402513e-12,-1.3642131287755318e-18,1.9613097792507488e-16,-65180470.74590507,-905960.9353462484,81.4708080504715,-1042.9420016854704
1.1935329833919892e-12,6.530594085935858e-12,-4.082902866915362e-18,1.960554742955609e-16,-64899789.76816948,-2703436.3715308392,243.83095921218234,-1038.432924930902
1.184119138465255e-12,6.8689775695139474e-12,-6.8275730309716535e-18,1.9590258418522148e-16,-64337594.94914478,-4489164.2294679135,407.7426614096235,-1029.302327541424
1.1698532887048647e-12,7.208605974772273e-12,-9.629681385174613e-18,1.95666653798789e-16,-63485638.401454054,-6263152.203693082,575.0845723226246,-1015.212564863671
1.1507743661526063e-12,7.546172640849416e-12,-1.2483140542604597e-17,1.9534289657763608e-16,-62346245.146633096,-8000099.7204731805,745.493153204343,-995.8777836164244
1.1266973997899286e-12,7.883096696778699e-12,-1.5423216595884563e-17,1.9492028450959192e-16,-60908368.71545397,-9698670.55922285,921.0744951062223,-970.6393909128284
1.0974511051538982e-12,8.219195880867281e-12,-1.8475777651961265e-17,1.9438462696355116e-16,-59161779.99979029,-11347980.051645542,1103.3734413751233,-938.6499222632661
1.062815499600275e-12,8.554258967520627e-12,-2.1671645067939846e-17,1.9371627876379688e-16,-57093341.63612786,-12935413.805236258,1294.230643457365,-898.7361677739377
1.0225117187070087e-12,8.888034620322851e-12,-2.5048601248354588e-17,1.9288797447298605e-16,-54686399.84118212,-14445962.009237742,1495.9024665517343,-849.2698355267089
9.759563890752535e-13,9.221763428023113e-12,-2.867177952175714e-17,1.9185603642540246e-16,-51906115.55557368,-15867626.01729513,1712.2786730393352,-787.6424953250307
9.231346429382406e-13,9.551952229136348e-12,-3.2569679514425323e-17,1.9057470020450793e-16,-48751600.87627125,-17163967.4384311,1945.0612606014784,-711.1210962132008
8.632738006217761e-13,9.879653419348807e-12,-3.6841742455548075e-17,1.8895786041760663e-16,-45176711.37313206,-18311748.736572064,2200.188859445328,-614.5634241394592
7.956338442543469e-13,1.0204186981949311e-11,-4.160352806069777e-17,1.8687922964419805e-16,-41137253.17886911,-19270359.313727707,2484.5626957848676,-490.4275943515079
7.192343016962841e-13,1.0524593309599395e-11,-4.702217089608578e-17,1.8413315589174717e-16,-36574672.49730164,-19982491.41964321,2808.1640459142404,-326.4320698551436
6.323079195596173e-13,1.0840895517972271e-11,-5.338303433418176e-17,1.8033922777559135e-16,-31383428.95610002,-20363438.915869083,3188.034810437332,-99.858682758312
5.33763237008493e-13,1.1147838506797891e-11,-6.10322858019039e-17,1.7483629130335525e-16,-25498340.514146946,-20271540.427188847,3644.8481080896986,228.77668336363456
4.2041924743997714e-13,1.1442794204712072e-11,-7.066843553730874e-17,1.6607011518871841e-16,-18729437.457115214,-19463760.92527662,4220.31897028807,752.2927209297442
2.8799680542891586e-13,1.1717152508477618e-11,-8.331573467960595e-17,1.4980579267100281e-16,-10821169.220214605,-17425905.04480747,4975.6156750660575,1723.598061687721
1.3133401868245804e-13,1.1947162150951844e-11,-9.743022623441463e-17,1.0927493555555561e-16,-1465267.5957161514,-12739547.112021688,5818.533110719243,4144.1008486222245
