# DUREE_SEC:1728000.0|PAS:8.0681|INTERVALLE:1728.00
Terre_X,Terre_Y,Terre_VX,Terre_VY,Fusee_X,Fusee_Y,Fusee_VX,Fusee_VY
2.4381634783902484e-12,6.05470646169565e-12,5.1522899550430554e-17,1.6599119300081014e-16,-139229122.92946443,95648184.18547511,-3076.9475611516914,1587.0059539915744
2.5268404271928663e-12,6.341494887287262e-12,5.120082157478199e-17,1.6621144047725637e-16,-144524910.31195667,98376768.77048266,-3057.713064445954,1573.8527746982127
2.6149789840896943e-12,6.628649846343681e-12,5.0898900212293846e-17,1.664160712865647e-16,-149788544.92983514,101083463.97697246,-3039.6823206781582,1561.6322227663122
2.7026122416694184e-12,6.9161458484185924e-12,5.061520047485305e-17,1.6660674895955144e-16,-155022003.07249606,103769792.09439752,-3022.739772358193,1550.2449521355309
2.7897701715602315e-12,7.203960068059499e-12,5.0348034916247356e-17,1.6678490440066448e-16,-160227074.6455753,106437116.2587819,-3006.7846451982596,1539.6055091922576
2.8764800168795933e-12,7.492071978768901e-12,5.009592451550605e-17,1.669517756316714e-16,-165405386.60804743,109086662.31255527,-2991.7286120659883,1529.639959276525
2.9631688750585537e-12,7.7818112985778e-12,4.985648344716827e-17,1.6710914923675952e-16,-170582445.21849477,111731802.62276438,-2977.4291914648547,1520.241607580675
3.049053152811033e-12,8.070465923355572e-12,4.9630782967561285e-17,1.6725650620003298e-16,-175711454.28587285,114348937.79237486,-2963.950358822728,1511.4414497339828
3.134557872004487e-12,8.35936757726378e-12,4.941665581192801e-17,1.6739542806136237e-16,-180817796.1161058,116951320.38231638,-2951.1626850883076,1503.145036175395
3.219702213178486e-12,8.648502338872891e-12,4.9213190551172906e-17,1.6752664396987163e-16,-185902616.17101714,119539781.78035928,-2939.011739716015,1495.308822119223
3.30450386809864e-12,8.93785747195469e-12,4.9019571794623637e-17,1.6765079980365124e-16,-190966971.0028488,122115082.59405428,-2927.448827574893,1487.8942357259066
3.3893731971384946e-12,9.228774866740971e-12,4.88342257935311e-17,1.6776900532499032e-16,-196035367.33310872,124689868.2666138,-2916.3799643896496,1480.8350019915422
3.473535932889871e-12,9.518537527573346e-12,4.865821522840753e-17,1.678806752996563e-16,-201061565.9121806,127240831.52304249,-2905.8686134404766,1474.166071104489
3.557401638361374e-12,9.80848817352637e-12,4.849006234341065e-17,1.6798683288038244e-16,-206070025.84293866,129780568.308066,-2895.8265231484625,1467.8263403835185
3.640983407688843e-12,1.0098617648954749e-11,4.832922832818185e-17,1.6808789002275743e-16,-211061529.10717526,132309625.39682218,-2886.2215157590012,1461.791207840883
