# DUREE_SEC:5175446400.0|PAS:1000.0000|INTERVALLE:1000000.00
Soleil_X,Soleil_Y,Soleil_VX,Soleil_VY,Mercure_X,Mercure_Y,Mercure_VX,Mercure_VY,Venus_X,Venus_Y,Venus_VX,Venus_VY,Terre_X,Terre_Y,Terre_VX,Terre_VY,Mars_X,Mars_Y,Mars_VX,Mars_VY,Jupiter_X,Jupiter_Y,Jupiter_VX,Jupiter_VY,Saturne_X,Saturne_Y,Saturne_VX,Saturne_VY,Uranus_X,Uranus_Y,Uranus_VX,Uranus_VY,Neptune_X,Neptune_Y,Neptune_VX,Neptune_VY
0.0,0.0,0.0,0.0,57900000000.0,0.0,0.0,47360.0,108200000000.0,0.0,0.0,35020.0,149600000000.0,0.0,0.0,29780.0,227900000000.0,0.0,0.0,24070.0,778500000000.0,0.0,0.0,13070.0,1432000000000.0,0.0,0.0,9690.0,2871000000000.0,0.0,0.0,6810.0,4495000000000.0,0.0,0.0,5430.0
0.14074851111018674,0.0,0.00028149702025031734,1.0811921717686138e-08,57899980201.412094,47360000.0,-39.597169484600805,47359.983805299606,108199994330.80603,35020000.0,-11.338387632810338,35019.99816500468,149599997034.3401,29780000.0,-5.9313197360052685,29779.999409635067,227899998722.24698,24070000.0,-2.5555060499291984,24069.999865028483,778499999890.528,13070000.0,-0.2189439828598899,13069.999998161158,1431999999967.4856,9690000.0,-0.06502870917219505,9689.999999781745,2870999999991.9253,6810000.0,-0.016149726986914744,6809.999999980961,4494999999996.707,5430000.0,-0.006585473656589662,5429.999999996045
140703.1545991052,3580.9699006284623,0.2804772692796435,0.010664630743519412,39107679628.097305,42142355170.52565,-35484.54790141213,31879.4346063293,102568941451.07036,34444721677.787254,-11152.349177098677,33197.31614277661,146638216273.14395,29612790256.636406,-5898.074343088694,29190.397789932085,226620869989.72275,24048968532.82927,-2553.3478711093726,23934.87877780116,778390311542.6558,13082455221.524239,-219.15258709096534,13068.15752256961,1431967420716.2637,9699617029.78009,-65.09321006630645,9689.781308061874,2870991908982.871,6816803634.458558,-16.165860665231897,6809.980922434333,4494996700674.599,5435428677.700646,-6.5920574196018356,5429.996037060631
558471.9077323219,27799.64000364064,0.5532992169540258,0.040613515162004066,-5361682357.795847,56272858229.19544,-48191.09516503105,-5642.414277319939,86282457730.08037,65275844419.229935,-21135.902653385765,27925.269915162702,137881531041.55203,58025506831.23592,-11557.474861507342,27447.10857921718,222802695467.04105,47804374838.83282,-5075.972301458638,23531.494875281547,778061715352.8391,26148159342.676865,-438.0243216306263,13062.637970600652,1431869814600.7756,19389107115.11452,-130.1182311759048,9689.126113381784,2870967668302.875,13626759151.904875,-32.31547551559446,6809.923765959033,4494986815884.8125,10865419437.437923,-13.177519123937403,5429.984164066805
1243104.1974369197,89395.48505021734,0.8136932371774824,0.08427167623724546,-45836502636.63474,31555850425.86337,-27449.6969294245,-40925.05122159179,61031124126.75831,89324163820.79225,-28925.138156571076,19750.099798172087,123675508026.10162,84144817747.79613,-16760.747817400086,24618.681051826523,216487605690.92682,71023941120.93584,-7542.574570562503,22864.15370051842,777514304142.4626,39206505980.38261,-656.7723284336,13053.44290280936,1431707186359.2507,29077723763.063892,-195.13693635904488,9688.034438346433,2870927278095.953,20436638473.423504,-48.46489833571358,6809.8285305877525,4494970345642.722,16295394369.14382,-19.76296036256337,5429.964380993454
2181496.926067758,198606.01724062313,1.0611503179819441,0.1348287526235446,-53209301253.67736,-15735044613.500668,13729.084258135308,-47473.17870103909,29437182564.079018,104088474343.95354,-33709.858588291754,9519.451910186572,104580880868.17468,106937827628.28796,-21302.350868816648,20816.415956429035,207745326493.97415,93447044617.95973,-9925.864164518056,21939.991830592535,776748232529.8525,52253820834.783875,-875.3348354899651,13040.574925774405,1431479543884.5308,38765030511.05857,-260.14617221839063,9686.506321159914,2870870738602.0317,27246403520.15401,-64.6140332537202,6809.695216401218,4494947289973.832,21725345562.724068,-26.348370921442243,5429.936687809507
3362195.8813844803,359987.2193589449,1.2989504663864861,0.18834861999117053,-21955402381.98069,-51696524410.21356,44558.725029503315,-19976.29048852491,-5216571452.166891,108030705671.473,-34990.776017634715,-1704.746323395862,81351612188.38474,125502586878.88388,-25002.639950825305,16190.05439571814,196672478360.6957,114821590233.85358,-12199.387560476052,20768.915581654386,775763716875.415,65286432736.82518,-1093.6501330682402,13024.037694723997,1431186898221.471,48450590942.6818,-325.14278820823546,9684.541815973205,2870798050157.318,34056016213.347294,-80.76278447469436,6809.52382354319,4494917648913.959,27155265108.049118,-32.933740597180645,5429.901084476153
4777127.806220685,576333.1298235734,1.5298194428385186,0.24498393542196253,24981724813.51706,-51442025671.32532,43550.21299113768,20094.01438368936,-39326894167.09797,100736859614.24976,-32632.042327168205,-12755.857320333458,54905357784.84886,139103742154.2463,-27714.95749354298,10921.964382851564,183391604280.6763,134906738726.84004,-14337.79781728642,19363.51371053629,774561035212.0538,78300674697.23169,-1311.6565883559374,13003.835913964665,1430829263563.8262,58133968703.76883,-390.12363715223694,9682.140993194958,2870709213192.92,40865438474.43525,-96.91105628586384,6809.314352234597,4494881422509.07,32585145094.94779,-39.5190591975199,5429.857570949179
6419434.498375284,851384.1336112147,1.753427991193595,0.3058356816398352,55413773812.83796,-16617791686.110899,13909.785462205522,45319.318028656875,-69344366649.09354,82961669534.58463,-26876.40000840428,-22483.52891429577,26287448851.674904,147201710191.42154,-29331.464254275124,5220.040458110761,168049930590.23364,153475535147.2039,-16317.118578368478,17738.945320386745,773140527161.1389,91292884955.37296,-1529.292659415308,12979.97533628825,1430406657250.71,67814727518.82712,-455.0855755593084,9679.303939804548,2870604228236.416,47674632225.11564,-113.05875304617062,6809.06680278805,4494838610815.329,38014977613.20318,-46.104316539015954,5429.806147181323
8280855.244114067,1189205.587426224,1.9676598380703048,0.37021125502730695,49878496013.68006,29074464771.6524,-24379.21471017849,40772.15466195175,-92143136914.5677,56551701031.71495,-18320.972107999452,-29873.690434075204,-3370228734.4955897,149474214428.74582,-29787.478485433243,-690.4230304051846,150817867694.6651,170317412942.37268,-18114.999881334392,15912.803314254572,771502593835.1761,104259408026.8041,-1746.4969081425804,12952.462760654993,1429919099762.808,77492431207.69672,-520.0254637747158,9676.030759489346,2870483095910.429,54483559387.4451,-129.20577916469702,6808.78117560738,4494789213899.099,43444754752.54942,-52.689502442741194,5429.746813122119
10350968.156928869,1591995.378024908,2.170592696836784,0.4350822570593112,11837172509.380054,55659635286.0665,-47350.514682995745,9012.109297243409,-105347468532.24683,24254236513.744095,-7855.777632069924,-34154.94308794836,-32893870147.50301,145829306907.3706,-29064.141493070147,-6575.580793705148,131887260136.27727,185240549345.33197,-19710.963227919296,13904.953515937445,769647697726.5841,117196595747.1709,-1963.2080158430108,12921.30602740946,1429366614718.398,87166643702.24158,-584.9401663969008,9672.321572602665,2870345816933.4497,61292181883.92457,-145.35203909815235,6808.457471174,4494733231836.869,48874468602.66771,-59.274606733193124,5429.679568715396
