# DUREE_SEC:1728000.0|PAS:8.0681|INTERVALLE:1728.00
Terre_X,Terre_Y,Terre_VX,Terre_VY,Fusee_X,Fusee_Y,Fusee_VX,Fusee_VY
0.0,0.0,0.0,0.0,6378000.0,0.0,0.0,11170.0
5.3399196249162754e-18,0.0,1.3235801116939857e-18,9.350578073260531e-21,6377681.1,90120.6554921408,-79.04420427036483,11169.441583477465
1.275817922947359e-13,9.293722790961561e-14,9.330983977078569e-17,1.0200162908306199e-16,-1241184.6358416278,13915850.335540162,-5572.463631111326,5078.4627111595355
2.8076928419407107e-13,3.0364068534219426e-13,8.365935739701642e-17,1.3583522993289197e-16,-10389541.652069949,20618460.132984664,-4996.136823749824,3057.920068407688
4.1763682624308046e-13,5.512175414900295e-13,7.533947347724681e-17,1.4935685563241485e-16,-18563271.263236787,25118990.55915408,-4499.27335606118,2250.4085816321804
5.422434970067899e-13,8.159795405468283e-13,6.930432775672677e-17,1.5671062855621876e-16,-26004781.64124555,28593224.250800233,-4138.85445363173,1811.2412626226187
6.577952751849615e-13,1.0908567133813918e-12,6.474127272924635e-17,1.613890842885532e-16,-32905533.834045943,31463379.76443819,-3866.3488073906037,1531.8438862875985
7.668481678203951e-13,1.373807774598612e-12,6.112617125695861e-17,1.6466976237719276e-16,-39418172.58223405,33941483.31935613,-3650.4549474655832,1335.921790834052
8.697740879047899e-13,1.6603099587374062e-12,5.819195026814333e-17,1.6709426752120714e-16,-45564908.52967413,36117393.15790547,-3475.223270013536,1191.1303436335168
9.680671088813608e-13,1.9504987532196962e-12,5.573527365304063e-17,1.689763440611531e-16,-51434967.742394924,38073138.62674124,-3328.5105425595943,1078.7327326679426
1.0624412308722553e-12,2.243596627188137e-12,5.3636224919144373e-17,1.70485714358545e-16,-57070990.30769126,39855153.868664145,-3203.155352171314,988.5931385076962
1.1534392889638554e-12,2.5390572404395155e-12,5.18133005155286e-17,1.7172707759246563e-16,-62505394.33692176,41496066.320610106,-3094.2903067873785,914.4589261779395
1.241485631908296e-12,2.836480755719209e-12,5.020897005089165e-17,1.7276872010568934e-16,-67763521.9375637,43019754.263424985,-2998.4796914392596,852.2520352882316
1.3273132219607136e-12,3.136966052011065e-12,4.877501073296356e-17,1.736610377873661e-16,-72889145.6154941,44450713.29968566,-2912.843640972592,798.9628233384892
1.410401347369489e-12,3.4374826201761245e-12,4.7493297303427807e-17,1.7442872388869239e-16,-77851168.46490625,45789684.124186255,-2836.2997149607177,753.1166093672788
1.4913841727773278e-12,3.739238620117913e-12,4.633280088030046e-17,1.751001619328838e-16,-82687462.79826224,47054636.08298084,-2766.9948685715576,713.0183293681747
1.5704541917793133e-12,4.042083997119029e-12,4.52748089990726e-17,1.7569319579495502e-16,-87409524.33306086,48254530.44379189,-2703.811593424633,677.6023471252812
1.647775086472206e-12,4.345895638035957e-12,4.4304467731527326e-17,1.7622143245411893e-16,-92027128.16412048,49396719.52355101,-2645.8628129268295,646.0560538400078
1.7238377199853706e-12,4.651996765563479e-12,4.340579160573485e-17,1.7669754291120296e-16,-96569588.63752647,50492301.118417576,-2592.193874694502,617.6227373429567
1.7980569365689337e-12,4.957453473043532e-12,4.25773400374471e-17,1.7712546995741318e-16,-101001960.25189684,51536246.823026404,-2542.718747036358,592.0669341432839
1.8708967407882624e-12,5.263614347092205e-12,4.180670796774107e-17,1.7751422099511601e-16,-105351953.35987537,52538139.70015755,-2496.696599833517,568.8507221716766
1.9424509892521966e-12,5.570416577429516e-12,4.1087173936136627e-17,1.7786920726334399e-16,-109625173.07814161,53501730.77973131,-2453.7260274660985,547.6509422331029
2.012802884142942e-12,5.877805820547967e-12,4.0413078232075425e-17,1.781948660084774e-16,-113826588.24101688,54430265.45601552,-2413.469032019562,528.2026019737331
2.082026618994941e-12,6.1857347103369676e-12,3.977961507062711e-17,1.784948727010543e-16,-117960629.68637814,55326572.43313454,-2375.6386120178618,510.2862022930398
2.150504827781518e-12,6.4956040437319345e-12,3.917996311515234e-17,1.7877354730957262e-16,-122050148.31511237,56197116.77359755,-2339.827397236909,493.6437546723188
2.217660646642241e-12,6.804494494670445e-12,3.861614526326923e-17,1.7903089618670795e-16,-126060693.81747472,57035999.31886771,-2306.156195122453,478.2748797297903
2.283869210720293e-12,7.113813635062285e-12,3.808222048196431e-17,1.7927046355449038e-16,-130014669.26421614,57849280.52998502,-2274.2702071829226,463.9679165258208
2.3491797698401263e-12,7.42353242753192e-12,3.75755116282691e-17,1.79494128630067e-16,-133915015.85485262,58638694.51901672,-2244.009554440245,450.6106382123816
2.413637244272912e-12,7.733624845980136e-12,3.709367126767843e-17,1.7970350867303365e-16,-137764416.22797817,59405795.56460744,-2215.2340481057718,438.10646204641495
2.477282748586293e-12,8.044067463331883e-12,3.663463081185332e-17,1.7990000367395161e-16,-141565325.74557352,60151982.7316788,-2187.8201520838925,426.3717805915974
2.540446065357732e-12,8.356292053876061e-12,3.619455850271649e-17,1.8008567014890615e-16,-145337439.0231636,60881871.11519043,-2161.5390337822405,415.2837787073205
2.602574529152938e-12,8.667374929314792e-12,3.5775913942369335e-17,1.802598506703358e-16,-149047750.8810137,61589822.06930805,-2136.5375806383063,404.8817179675473
2.6639958062466195e-12,8.978750074571993e-12,3.537515001544189e-17,1.804243713384615e-16,-152715829.5490482,62280318.66986647,-2112.6039589222,395.05654366707216
2.724739625014696e-12,9.29040153916828e-12,3.499096516074203e-17,1.8058005850863123e-16,-156343450.40587765,62954313.47949463,-2089.660439399527,385.75890586453
2.7848335825276093e-12,9.602314716204017e-12,3.4622189089640244e-17,1.8072764458081002e-16,-159932261.54854953,63612678.82223708,-2067.637132433326,376.9450656340074
2.844579825529646e-12,9.915935453422847e-12,3.4266142062169747e-17,1.8086841945953974e-16,-163500307.18063107,64259189.32633957,-2046.3740039527877,368.5379898762709
2.903446607940241e-12,1.022833395230571e-11,3.39251773333836e-17,1.810016575437101e-16,-167015831.42619187,64888571.24837288,-2026.011590349674,360.5810114896124
2.9617356230342886e-12,1.0540956948690334e-11,3.3596739554930293e-17,1.8112855150505718e-16,-170496851.40760848,65504546.17960206,-2006.39728622044,353.00290411797107
3.01946780817376e-12,1.0853793900296683e-11,3.3280040127941345e-17,1.8124956958372896e-16,-173944617.50413767,66107743.704988495,-1987.4839964406594,345.7757044597009
3.0766627999777206e-12,1.1166835032588963e-11,3.2974359545219e-17,1.8136513388036248e-16,-177360302.41467023,66698747.55981074,-1969.2287520404793,338.874204664745
3.1333390468364194e-12,1.1480071264097275e-11,3.2679039725024753e-17,1.8147562598256653e-16,-180745007.87707192,67278100.08945271,-1951.5922523784793,332.27561632112463
3.189775257552584e-12,1.1794959159160937e-11,3.239216497868594e-17,1.815818754232179e-16,-184115378.38104144,67848935.92706148,-1934.4600925271232,325.930399725427
3.24546286746062e-12,1.2108561613893485e-11,3.211584754912626e-17,1.8168320932362099e-16,-187441042.4447491,68406417.60575163,-1917.9584156338215,319.8787391933506
