# DUREE_SEC:1728000.0|PAS:8.0681|INTERVALLE:1728.00
Terre_X,Terre_Y,Terre_VX,Terre_VY,Fusee_X,Fusee_Y,Fusee_VX,Fusee_VY
0.0,0.0,0.0,0.0,6378000.0,0.0,0.0,11000.0
5.3399196249162754e-18,0.0,1.3235860974098164e-18,9.208351764296841e-21,6377681.1,88749.07881947616,-79.04456173731424,10999.450077232636
1.2921123001737168e-13,9.43256704216158e-14,9.466637183917417e-17,1.0448745960304837e-16,-1338494.6566374432,13536671.98742797,-5653.475726235481,4760.008912505955
2.836642170903233e-13,3.1131556262500943e-13,8.371352694111493e-17,1.4030907130529286e-16,-10562427.04463413,19570338.492409185,-4999.371828923389,2620.7422616479043
4.1954343969790947e-13,5.67432067501131e-13,7.418385099147145e-17,1.5467657735937722e-16,-18677134.218759146,23267363.688575115,-4430.259581210674,1762.7148000979764
5.412817368412199e-13,8.418090872035042e-13,6.7169944830602e-17,1.6248878523152843e-16,-25947345.324157663,25873870.93931724,-4011.3891052835584,1296.1697459731033
6.524251921159487e-13,1.12692744174815e-12,6.179168304677826e-17,1.6745411479518086e-16,-32584832.47316446,27838905.673278827,-3690.1993115536065,999.6402644317724
7.557369845092962e-13,1.4205797385384136e-12,5.747255801791514e-17,1.7093160667322627e-16,-38754612.71489514,29383042.455151644,-3432.2611648299053,791.9644494749065
8.518112192268904e-13,1.718021962625672e-12,5.3920686636984e-17,1.7349791848370195e-16,-44492166.01222992,30612095.70002821,-3220.1434059606913,638.7043081533067
9.422425153400673e-13,2.0193635751112106e-12,5.090892584248734e-17,1.7548699861895836e-16,-49892723.01610885,31608277.46975985,-3040.281051313353,519.9164424757945
1.0278402855919788e-12,2.3237772272836155e-12,4.8303588420535273e-17,1.7707953106921142e-16,-55004621.855553135,32420997.029391818,-2884.6903004743735,424.8104045466849
1.1092227623461072e-12,2.6306816803180847e-12,4.6013450552179895e-17,1.7838696375115938e-16,-59864783.36730963,33084965.961540926,-2747.9232669761927,346.73052478075545
1.1868753276496453e-12,2.939651630379483e-12,4.397388285960617e-17,1.7948197291281932e-16,-64502194.56723702,33625583.41124219,-2626.120284375687,281.33657764641583
