# DUREE_SEC:1728000.0|PAS:8.0681|INTERVALLE:1728.00
Terre_X,Terre_Y,Terre_VX,Terre_VY,Fusee_X,Fusee_Y,Fusee_VX,Fusee_VY
0.0,0.0,0.0,0.0,6378000.0,0.0,0.0,11330.0
5.3399196249162754e-18,0.0,1.3235743943071068e-18,9.48443457619957e-21,6377681.1,91411.55118406044,-79.04386282802042,11329.43358956711
1.2608611656950145e-13,9.168547719910412e-14,9.20578917500556e-17,9.978730188583669e-17,-1151862.8815306283,14269438.357426563,-5497.697295313321,5370.702331377832
2.7798883688392846e-13,2.9683720199882674e-13,8.34645837294106e-17,1.318982013260924e-16,-10223493.338708198,21579849.305776056,-4984.504940320399,3453.0394168057637
4.1538274170072467e-13,5.36905482352199e-13,7.610591958391052e-17,1.4468031640838294e-16,-18428657.334367264,26805043.556461643,-4545.045517551134,2689.691504091381
5.419937407191182e-13,7.932108608716461e-13,7.083155505555309e-17,1.516253068428369e-16,-25989866.195745736,31060558.304669257,-4230.06046791763,2274.9366753458
6.607345694182823e-13,1.059066838548307e-12,6.688887964254224e-17,1.560415430484798e-16,-33081068.48565988,34745711.27120811,-3994.603892252616,2011.1990491448075
7.739799854826315e-13,1.3325727800197272e-12,6.379862916300637e-17,1.5913708814267866e-16,-39844084.73302276,38065419.95110787,-3810.0541336147376,1826.3330961192548
8.819184861324329e-13,1.6093982296449622e-12,6.131573051009381e-17,1.6142383991049386e-16,-46290171.9918288,41095476.05287776,-3661.775426062803,1689.7682805453294
9.859550794652582e-13,1.8897001155613276e-12,5.925682391616175e-17,1.6319821535010522e-16,-52503237.34566518,43917919.37934173,-3538.8175242731804,1583.8025792917429
1.086722054108314e-12,2.1727440085161037e-12,5.751372743561674e-17,1.646205576943091e-16,-58521041.07134846,46576610.0454716,-3434.7198024550285,1498.8602944958802
1.184697576956281e-12,2.458013889029434e-12,5.6013208335517e-17,1.657897761052076e-16,-64372139.295829184,49102364.73460463,-3345.1088017970683,1429.0345709970147
