# DUREE_SEC:1577880000.0|PAS:1000.0000|INTERVALLE:100000.00
Soleil_1_X,Soleil_1_Y,Soleil_1_VX,Soleil_1_VY,Soleil_2_X,Soleil_2_Y,Soleil_2_VX,Soleil_2_VY,Soleil_3_X,Soleil_3_Y,Soleil_3_VX,Soleil_3_VY
156458617274.36816,-21507250182.463898,7076.798181836776,13836.282811939756,-125077289049.92746,48750701308.11025,22784.58438963595,8825.540464758118,-31381328224.44068,-27243451125.646202,-29861.382571472783,-22661.82327669783
157140087992.70035,-20122386628.38697,6554.825979914849,13860.029643678808,-122755796675.02728,49601705864.22076,23644.74168266956,8185.331871000733,-34384291317.67305,-29479319235.833633,-30199.567662584483,-22045.361514679495
157770010181.03262,-18735420848.959724,6045.68582236826,13878.475038021508,-120348521024.49649,50385893268.83461,24499.47315622551,7488.900229505539,-37421489156.53635,-31650472419.87473,-30545.15897859383,-21367.375267527004
158349624267.63885,-17346840175.780865,5548.519761887788,13892.4604832814,-117856245478.31468,51097560081.74988,25343.885754655166,6734.706446415936,-40493378789.32447,-33750719905.968834,-30892.40551654301,-20627.1669296973
158880084227.07516,-15957052120.180027,5062.457324038862,13902.74185457752,-115280265170.50897,51730875799.73975,26172.64494424956,5921.766093266478,-43599819056.5665,-35773823679.5596,-31235.102268288483,-19824.50794784395
159362456509.64603,-14566392653.023134,4586.619019173398,13909.994984382478,-112622428509.59985,52279943651.79278,26980.0311433973,5049.75590054009,-46740028000.04679,-37713550998.76949,-31566.650162570775,-18959.750884922512
159797719284.5227,-13175133945.957935,4120.119122663141,13914.820857763409,-109885171857.10681,52738871932.17424,27760.020437781866,4119.117109811682,-49912547427.41636,-39563737986.21619,-31880.13956044509,-18033.93796757504
160186761928.88568,-11783491613.077045,3662.0678324320247,13917.750405051831,-107071544864.0098,53101855266.78291,28506.39079430834,3131.1497124332072,-53115217064.876,-41318363653.70585,-32168.45862674044,-17048.900117484995
160530384705.8134,-10391631494.241531,3211.57290172846,13919.24887350726,-104185223916.43532,53363264566.62896,29212.853461339517,2088.0907684328695,-56345160789.37819,-42971633072.38744,-32424.426363068076,-16007.339641940087
160829298582.89606,-8999676022.800798,2767.7408346111683,13919.719766229744,-101230511266.14745,53517743716.61177,29873.207323164585,993.1695841839511,-59598787316.74868,-44518067693.81108,-32640.948157775856,-14912.889350413661
161084125151.8043,-7607710221.358152,2329.677721720414,13919.508341539997,-98212317752.81105,53560310329.05967,30481.511781258636,-149.36729109067787,-62871807398.99322,-45952600107.70162,-32811.18950297914,-13770.14105044928
161295396616.3314,-6215787369.720257,1896.4897845684327,13918.904669621821,-95136127581.75339,53486457226.94317,31032.27146224603,-1334.2673691634152,-66159269034.577934,-47270669857.222984,-32928.76124681453,-12584.637300458357
161463555822.80237,-4823934389.357941,1467.28368783348,13918.146245685492,-92007944397.86765,53292250789.44736,31520.623971392826,-2555.3242172427376,-69455611424.93456,-48468316400.08952,-32987.907659226345,-11362.822028442703
161588956312.2864,-3432156988.6944976,1041.1666710516513,13917.42016048286,-88834218858.9177,52974421972.50366,31942.520330379455,-3805.4720366176957,-72754737453.36867,-49542264983.80925,-32983.687001431135,-10111.948123865115
161671862378.81323,-2040444613.4064488,617.24654379006,13916.864829866261,-85621758994.31036,52530445778.24696,32294.88696060349,-5076.921626750034,-76050103384.50282,-50490001164.840546,-32912.13350439361,-8839.943203116178
161712449121.87592,-648775245.7332245,194.63158202004283,13916.571285382859,-82377625745.66904,51958605235.67197,32575.758331821922,-6361.333149389621,-79334823376.20667,-51309829989.93875,-32770.389913842024,-7555.238135993188
161710802485.00235,742879903.403236,-227.56964181663992,13916.584027762188,-79109017113.03783,51258036580.10628,32784.37079716177,-7650.017824897152,-82601785371.96448,-52000916483.509544,-32556.801155345187,-6266.56620286499
161666919275.22473,2134551765.8334105,-650.2484664464977,13916.901444703266,-75823145162.60884,50428753249.32278,32921.21061778741,-8934.157949644978,-85843774112.61581,-52563305015.15613,-32270.962151340984,-4982.743495058238
161580707160.99414,3526268807.603023,-1074.2963608938742,13917.475793708103,-72527110690.91972,49471647474.95533,32988.01250456106,-10205.032811396688,-89053596470.07468,-52997916282.55838,-31913.716143667265,-3712.442982311358
161451984648.66998,4918052396.974182,-1500.605129659992,13918.212749947286,-69227780520.69922,48388469531.36973,32987.70878265133,-11454.237470359263,-92224204127.971,-53306521928.34397,-31487.103652991445,-2463.9752795879563
161280481040.2751,6309912105.435479,-1930.0670776287604,13918.970518385662,-65931672202.641685,47181785983.69092,32924.33304806528,-12673.882060450214,-95348808837.63388,-53491698089.12644,-30994.265970436612,-1245.0884579353815
161065836377.96243,7701840898.080725,-2363.575105884163,13919.558508748301,-62644850340.6913,45854919426.33221,32802.88546507764,-13856.761143197244,-98420986037.27155,-53556760324.41293,-30439.31035919357,-62.79736555098593
160807601383.6979,9093810169.550121,-2802.022705636597,13919.735571475376,-59372837914.24867,44411873116.76962,32629.169270842154,-14996.485434967122,-101434763469.44987,-53505683286.31968,-29827.146565205665,1076.7498634918115
160505237406.21173,10485764581.534304,-3246.303812143364,13919.207792709456,-56120544938.20537,42857244514.61676,32409.609379357018,-16087.571529783972,-104384692468.00719,-53343009096.15105,-29163.305567213767,2168.363737074576
