# DUREE_SEC:1728000.0|PAS:8.0681|INTERVALLE:1728.00
Terre_X,Terre_Y,Terre_VX,Terre_VY,Fusee_X,Fusee_Y,Fusee_VX,Fusee_VY
0.0,0.0,0.0,0.0,6378000.0,0.0,0.0,10330.0
5.3399196249162754e-18,0.0,1.3236087951607459e-18,8.647776043474353e-21,6377681.1,83343.45310956262,-79.04591724699975,10329.483554814684
1.3606290264206212e-13,1.0048936351033808e-13,1.0024056796483551e-16,1.1589480313994048e-16,-1747676.545783944,12000961.082828116,-5986.366718859976,3408.7623564827445
2.9375892974784697e-13,3.4700606431662105e-13,8.147742894624948e-17,1.6148632417490517e-16,-11165283.284541413,15114482.67612327,-4865.832056670013,686.0367202746629
4.188794696056716e-13,6.43470585220388e-13,6.413589244894579e-17,1.7970590280242328e-16,-18637481.924850713,15245120.45319674,-3830.1954970510337,-402.0365153607072
5.172428293382983e-13,9.627432534897876e-13,5.027605325977016e-17,1.8923857684792938e-16,-24511741.768083133,14013655.669594616,-3002.485900673463,-971.3278093583345
5.93791203433237e-13,1.2947671458848297e-12,3.8692929361629365e-17,1.9491477652791488e-16,-29083210.669032782,12020687.781209128,-2310.7417414764964,-1310.3104542470671
6.519103761958802e-13,1.6362202013177445e-12,2.850838671012269e-17,1.9850156745642634e-16,-32554087.66641784,9547953.729311448,-1702.5208543285187,-1524.513608497772
6.930691118364699e-13,1.981039221070326e-12,1.928704367095702e-17,2.0074290983393011e-16,-35012087.358873926,6790860.8351336485,-1151.8222480295428,-1658.3665752823047
7.188289067976432e-13,2.3288735464843455e-12,1.0620336394722718e-17,2.0203780237711211e-16,-36550462.31395526,3853693.8868546668,-634.2464894928307,-1735.6975579611328
7.299063408624959e-13,2.678269230789122e-12,2.239337099861146e-18,2.0257141624859513e-16,-37212006.67630833,823282.5856199237,-133.73321160369773,-1767.5649783660922
7.265951996600762e-13,3.0279858701184735e-12,-6.083129268234206e-18,2.0241346139655925e-16,-37014265.32369975,-2226296.1496825316,363.2844798989569,-1758.1319146025128
7.088084828838261e-13,3.3768245774756554e-12,-1.456605292256783e-17,2.0154367127431264e-16,-35952042.59782205,-5223444.787606674,869.8846805357604,-1706.1880485019385
6.758767783567953e-13,3.725083238193023e-12,-2.3494064347175803e-17,1.9983438895195678e-16,-33985361.20346782,-8102609.58709185,1403.0655228133492,-1604.1097082108338
6.271579008852832e-13,4.067884900074304e-12,-3.308835810803762e-17,1.9704026938383874e-16,-31075869.84086913,-10739225.869195135,1976.0367462120153,-1437.244887602821
5.609710856276178e-13,4.404572907133518e-12,-4.381365229285694e-17,1.9263157785078731e-16,-27123193.23368135,-13010734.685325613,2616.551314929425,-1173.9578292489932
4.74846078617367e-13,4.731527883197578e-12,-5.63186881228932e-17,1.8549842340063283e-16,-21979807.815029215,-14700986.890425183,3363.352054699191,-747.9658454857547
3.648887853470332e-13,5.042082939222989e-12,-7.162763782217379e-17,1.7292937044982446e-16,-15413158.260924898,-15411835.870816395,4277.602530740228,2.657996736528615
2.2450577388707872e-13,5.3222088428923096e-12,-9.081350384407263e-17,1.4618209018203558e-16,-7029484.816536402,-14222112.419392833,5423.382449568031,1600.0055743288817
5.567771509215098e-14,5.51967599573399e-12,-9.490479685556719e-17,6.587413839695285e-17,3052926.8546967087,-8179351.821650852,5667.714468214492,6395.996454934018
4.182743805768879e-14,5.561437131493442e-12,8.90642945329195e-17,5.3044562538336945e-17,3880065.3991948264,7162172.116241027,-5318.919669505931,7162.178725210566
2.1072449391557388e-13,5.74616267444647e-12,9.256607992292411e-17,1.42435138649961e-16,-6206466.77663804,13965861.656532276,-5528.046292997007,1823.7735198243645
3.5341480998100285e-13,6.0207187325442154e-12,7.321631906523186e-17,1.712994618124378e-16,-14727932.452065416,15404872.832382193,-4372.478574575622,99.99614056123579
4.658197780280148e-13,6.329218032713668e-12,5.758631364271118e-17,1.8463311521704298e-16,-21440757.143832933,14816793.591708573,-3439.054650742688,-696.2896407617958
5.543029546999806e-13,6.656561443698656e-12,4.481993344259925e-17,1.9213950825954747e-16,-26724972.454682723,13186687.506241577,-2676.6464251920015,-1144.5714332601663
6.221117750978058e-13,6.9925693951401055e-12,3.3970265226451634e-17,1.967291263197262e-16,-30774515.20884078,10955791.611604583,-2028.704239323667,-1418.6634238140432
6.722799281217876e-13,7.334939519422335e-12,2.429703695450129e-17,1.996382267676292e-16,-33770557.30743292,8344946.754915482,-1451.0190469227948,-1592.3949025628067
7.064351128184061e-13,7.681307875067637e-12,1.5361369170635212e-17,2.0142411446182933e-16,-35810304.93751499,5495327.521224408,-917.3809668703119,-1699.0481156604344
7.255693029318819e-13,8.030002159627192e-12,6.85233180611112e-18,2.0236391352461343e-16,-36952998.77109172,2506803.812774838,-409.22125546093423,-1755.1729156898973
7.302009707494424e-13,8.379688500125225e-12,-1.4755930881449943e-18,2.0258550677931078e-16,-37229601.9731565,-540965.4763209396,88.12241922404124,-1768.4064648604194
7.203721621275406e-13,8.730794839354782e-12,-9.881684485592791e-18,2.0211344488730796e-16,-36642625.52225654,-3590193.6365543264,590.1341974796242,-1740.2149286700205
6.959142714845907e-13,9.078819900657036e-12,-1.8513831448602156e-17,2.008907118843845e-16,-35182000.29305957,-6538751.332079244,1105.6460141105433,-1667.1933137354324
6.561385303515175e-13,9.42397114507873e-12,-2.767459000945477e-17,1.9874368721495978e-16,-32806593.032592352,-9315684.683496768,1652.7265153646626,-1538.9730004773755
5.998482955631719e-13,9.764380428615406e-12,-3.771200196351958e-17,1.9531626401991082e-16,-29444940.2110323,-11809428.130860228,2252.160757261414,-1334.28728726906
5.25121807906174e-13,1.0097288091593557e-11,-4.913443436507503e-17,1.898843167364028e-16,-24982274.368156325,-13855174.798468838,2934.3084202823024,-1009.8913954979528
4.284256936363049e-13,1.0419495972542915e-11,-6.281084554168812e-17,1.8077535491588835e-16,-19207582.42395972,-15178587.030207992,3751.063695749634,-465.9041955768466
3.058823903571533e-13,1.0718617830340624e-11,-7.980696307226329e-17,1.636908397154376e-16,-11889296.352128701,-15206645.41244091,4766.071834675583,554.3830521940736
